pais,nombre_completo,club,posicion,partidos_internacionales
México,Guillermo Ochoa,AEL Limassol,Portero,152
México,Raúl Rangel,Guadalajara,Portero,13
México,Carlos Acevedo,Santos Laguna,Portero,7
México,Jesús Gallardo,Toluca,Defensa,120
México,César Montes,Lokomotiv Moscow,Defensa,66
México,Jorge Sánchez,PAOK,Defensa,58
México,Johan Vásquez,Genoa,Defensa,45
México,Israel Reyes,América,Defensa,33
México,Mateo Chávez,AZ,Defensa,9
México,Edson Álvarez,Fenerbahçe,Mediocampista,97
México,Orbelín Pineda,AEK Athens,Mediocampista,91
México,Roberto Alvarado,Guadalajara,Mediocampista,66
México,Luis Romo,Guadalajara,Mediocampista,62
México,Luis Chávez,Dynamo Moscow,Mediocampista,44
México,Érik Lira,Cruz Azul,Mediocampista,24
México,Gilberto Mora,Tijuana,Mediocampista,7
México,Brian Gutiérrez,Guadalajara,Mediocampista,6
México,Obed Vargas,Atlético Madrid,Mediocampista,6
México,Álvaro Fidalgo,Real Betis,Mediocampista,3
México,Raúl Jiménez,Fulham,Delantero,123
México,Alexis Vega,Toluca,Delantero,51
México,Santiago Giménez,AC Milan,Delantero,47
México,César Huerta,Anderlecht,Delantero,26
México,Julián Quiñones,Al Qadsiah,Delantero,21
México,Guillermo Martínez,UNAM,Delantero,11
México,Armando González,Guadalajara,Delantero,7
Sudáfrica,Ronwen Williams,Mamelodi Sundowns,Portero,62
Sudáfrica,Ricardo Goss,Siwelele,Portero,4
Sudáfrica,Sipho Chaine,Orlando Pirates,Portero,3
Sudáfrica,Aubrey Modiba,Mamelodi Sundowns,Defensa,44
Sudáfrica,Khuliso Mudau,Mamelodi Sundowns,Defensa,34
Sudáfrica,Nkosinathi Sibisi,Orlando Pirates,Defensa,19
Sudáfrica,Mbekezeli Mbokazi,Chicago Fire,Defensa,10
Sudáfrica,Ime Okon,Hannover 96,Defensa,7
Sudáfrica,Samukele Kabini,Molde,Defensa,5
Sudáfrica,Khulumani Ndamane,Mamelodi Sundowns,Defensa,5
Sudáfrica,Thabang Matuludi,Polokwane City,Defensa,2
Sudáfrica,Kamogelo Sebelebele,Orlando Pirates,Defensa,2
Sudáfrica,Bradley Cross,Kaizer Chiefs,Defensa,0
Sudáfrica,Olwethu Makhanya,Philadelphia Union,Defensa,0
Sudáfrica,Teboho Mokoena,Mamelodi Sundowns,Mediocampista,51
Sudáfrica,Sphephelo Sithole,Tondela,Mediocampista,27
Sudáfrica,Thalente Mbatha,Orlando Pirates,Mediocampista,14
Sudáfrica,Jayden Adams,Mamelodi Sundowns,Mediocampista,4
Sudáfrica,Themba Zwane,Mamelodi Sundowns,Delantero,53
Sudáfrica,Lyle Foster,Burnley,Delantero,26
Sudáfrica,Evidence Makgopa,Orlando Pirates,Delantero,26
Sudáfrica,Oswin Appollis,Orlando Pirates,Delantero,25
Sudáfrica,Iqraam Rayners,Mamelodi Sundowns,Delantero,13
Sudáfrica,Relebohile Mofokeng,Orlando Pirates,Delantero,12
Sudáfrica,Thapelo Maseko,AEL Limassol,Delantero,9
Sudáfrica,Tshepang Moremi,Orlando Pirates,Delantero,9
República Checa,Matěj Kovář,PSV Eindhoven,Portero,19
República Checa,Jindřich Staněk,Slavia Prague,Portero,14
República Checa,Lukáš Horníček,Braga,Portero,1
República Checa,Vladimír Coufal,Hoffenheim,Defensa,61
República Checa,Tomáš Holeš,Slavia Prague,Defensa,40
República Checa,Ladislav Krejčí,Wolves,Defensa,26
República Checa,David Zima,Slavia Prague,Defensa,24
República Checa,Jaroslav Zelený,Sparta Prague,Defensa,22
República Checa,David Jurásek,Slavia Prague,Defensa,17
República Checa,David Douděra,Slavia Prague,Defensa,16
República Checa,Robin Hranáč,Hoffenheim,Defensa,13
República Checa,Štěpán Chaloupek,Slavia Prague,Defensa,4
República Checa,Tomáš Souček,West Ham,Mediocampista,89
República Checa,Vladimír Darida,Hradec Králové,Mediocampista,78
República Checa,Lukáš Provod,Slavia Prague,Mediocampista,37
República Checa,Michal Sadílek,Slavia Prague,Mediocampista,34
República Checa,Pavel Šulc,Lyon,Mediocampista,20
República Checa,Lukáš Červ,Viktoria Plzeň,Mediocampista,16
República Checa,Hugo Sochůrek,Sparta Prague,Mediocampista,1
República Checa,Alexandr Sojka,Viktoria Plzeň,Mediocampista,1
República Checa,Denis Višinský,Viktoria Plzeň,Mediocampista,1
República Checa,Patrik Schick,Bayer Leverkusen,Delantero,52
República Checa,Adam Hložek,Hoffenheim,Delantero,42
República Checa,Jan Kuchta,Sparta Prague,Delantero,31
República Checa,Mojmír Chytil,Slavia Prague,Delantero,22
República Checa,Tomáš Chorý,Slavia Prague,Delantero,21
Corea del Sur,Kim Seung-gyu,FC Tokyo,Portero,85
Corea del Sur,Jo Hyeon-woo,Ulsan HD,Portero,47
Corea del Sur,Song Bum-keun,Jeonbuk Hyundai Motors,Portero,2
Corea del Sur,Kim Min-jae,Bayern Munich,Defensa,77
Corea del Sur,Kim Moon-hwan,Daejeon Hana Citizen,Defensa,34
Corea del Sur,Seol Young-woo,Red Star Belgrade,Defensa,32
Corea del Sur,Cho Yu-min,Sharjah,Defensa,18
Corea del Sur,Lee Tae-seok,Austria Wien,Defensa,14
Corea del Sur,Park Jin-seob,Zhejiang,Defensa,12
Corea del Sur,Kim Tae-hyeon,Kashima Antlers,Defensa,7
Corea del Sur,Lee Han-beom,Midtjylland,Defensa,6
Corea del Sur,Jens Castrop,Borussia Mönchengladbach,Defensa,5
Corea del Sur,Lee Ki-hyuk,Gangwon FC,Defensa,1
Corea del Sur,Lee Jae-sung,Mainz,Mediocampista,103
Corea del Sur,Hwang Hee-chang,Wolves,Mediocampista,77
Corea del Sur,Hwang In-beom,Feyenoord,Mediocampista,71
Corea del Sur,Lee Kang-in,PSG,Mediocampista,46
Corea del Sur,Paik Seung-ho,Birmingham City,Mediocampista,25
Corea del Sur,Kim Jin-gyu,Jeonbuk Hyundai Motors,Mediocampista,20
Corea del Sur,Lee Dong-gyeong,Ulsan HD,Mediocampista,16
Corea del Sur,Bae Jun-ho,Stoke City,Mediocampista,12
Corea del Sur,Eom Ji-sung,Swansea City,Mediocampista,8
Corea del Sur,Yang Hyun-jun,Celtic,Mediocampista,8
